#TYPE Deserialized.System.Management.ManagementObject#root\cimv2\Win32_Service
"PSComputerName","RunspaceId","PSShowComputerName","__GENUS","__CLASS","__SUPERCLASS","__DYNASTY","__RELPATH","__PROPERTY_COUNT","__DERIVATION","__SERVER","__NAMESPACE","__PATH","AcceptPause","AcceptStop","Caption","CheckPoint","CreationClassName","DelayedAutoStart","Description","DesktopInteract","DisplayName","ErrorControl","ExitCode","InstallDate","Name","PathName","ProcessId","ServiceSpecificExitCode","ServiceType","Started","StartMode","StartName","State","Status","SystemCreationClassName","SystemName","TagId","WaitHint"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""DHCPServer""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""DHCPServer""","True","True","DHCP Server","0","Win32_Service","False","Performs TCP/IP configuration for DHCP clients, including dynamic assignments of IP addresses, specification of the WINS and DNS servers, and connection-specific DNS names. If this service is stopped, the DHCP server will not perform TCP/IP configuration for clients. If this service is disabled, any services that explicitly depend on it will fail to start.","False","DHCP Server","Normal","0",,"DHCPServer","C:\Windows\system32\svchost.exe -k DHCPServer","2748","0","Share Process","True","Auto","NT AUTHORITY\NetworkService","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""DiagTrack""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""DiagTrack""","False","True","Connected User Experiences and Telemetry","0","Win32_Service","False","The Connected User Experiences and Telemetry service enables features that support in-application and connected user experiences. Additionally, this service manages the event driven collection and transmission of diagnostic and usage information (used to improve the experience and quality of the Windows Platform) when the diagnostics and usage privacy option settings are enabled under Feedback and Diagnostics.","False","Connected User Experiences and Telemetry","Normal","0",,"DiagTrack","C:\Windows\System32\svchost.exe -k utcsvc","2596","0","Own Process","True","Auto","LocalSystem","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""DNS""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""DNS""","True","True","DNS Server","0","Win32_Service","False","Enables DNS clients to resolve DNS names by answering DNS queries and dynamic DNS update requests. If this service is stopped, DNS updates will not occur. If this service is disabled, any services that explicitly depend on it will fail to start.","False","DNS Server","Normal","0",,"DNS","C:\Windows\system32\dns.exe","2724","0","Own Process","True","Auto","LocalSystem","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""Dnscache""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""Dnscache""","False","True","DNS Client","0","Win32_Service","False","The DNS Client service (dnscache) caches Domain Name System (DNS) names and registers the full computer name for this computer. If the service is stopped, DNS names will continue to be resolved. However, the results of DNS name queries will not be cached and the computer's name will not be registered. If the service is disabled, any services that explicitly depend on it will fail to start.","False","DNS Client","Normal","0",,"Dnscache","C:\Windows\system32\svchost.exe -k NetworkService","1084","0","Share Process","True","Auto","NT AUTHORITY\NetworkService","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""DPS""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""DPS""","False","True","Diagnostic Policy Service","0","Win32_Service","True","The Diagnostic Policy Service enables problem detection, troubleshooting and resolution for Windows components.  If this service is stopped, diagnostics will no longer function.","False","Diagnostic Policy Service","Normal","0",,"DPS","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork","1272","0","Share Process","True","Auto","NT AUTHORITY\LocalService","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""EventLog""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""EventLog""","False","True","Windows Event Log","0","Win32_Service","False","This service manages events and event logs. It supports logging events, querying events, subscribing to events, archiving event logs, and managing event metadata. It can display events in both XML and plain text format. Stopping this service may compromise security and reliability of the system.","False","Windows Event Log","Normal","0",,"EventLog","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted","412","0","Share Process","True","Auto","NT AUTHORITY\LocalService","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""EventSystem""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""EventSystem""","False","True","COM+ Event System","0","Win32_Service","False","Supports System Event Notification Service (SENS), which provides automatic distribution of events to subscribing Component Object Model (COM) components. If the service is stopped, SENS will close and will not be able to provide logon and logoff notifications. If this service is disabled, any services that explicitly depend on it will fail to start.","False","COM+ Event System","Normal","0",,"EventSystem","C:\Windows\system32\svchost.exe -k LocalService","492","0","Share Process","True","Auto","NT AUTHORITY\LocalService","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""fdPHost""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""fdPHost""","False","False","Function Discovery Provider Host","0","Win32_Service","False","The FDPHOST service hosts the Function Discovery (FD) network discovery providers. These FD providers supply network discovery services for the Simple Services Discovery Protocol (SSDP) and Web Services ? Discovery (WS-D) protocol. Stopping or disabling the FDPHOST service will disable network discovery for these protocols when using FD. When this service is unavailable, network services using FD and relying on these discovery protocols will be unable to find network devices or resources.","False","Function Discovery Provider Host","Normal","0",,"fdPHost","C:\Windows\system32\svchost.exe -k LocalService","0","0","Share Process","False","Auto","NT AUTHORITY\LocalService","Stopped","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""FDResPub""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""FDResPub""","False","True","Function Discovery Resource Publication","0","Win32_Service","False","Publishes this computer and resources attached to this computer so they can be discovered over the network.  If this service is stopped, network resources will no longer be published and they will not be discovered by other computers on the network.","False","Function Discovery Resource Publication","Normal","0",,"FDResPub","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation","2520","0","Share Process","True","Auto","NT AUTHORITY\LocalService","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""FontCache""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""FontCache""","False","True","Windows Font Cache Service","0","Win32_Service","False","Optimizes performance of applications by caching commonly used font data. Applications will start this service if it is not already running. It can be disabled, though doing so will degrade application performance.","False","Windows Font Cache Service","Normal","0",,"FontCache","C:\Windows\system32\svchost.exe -k LocalService","492","0","Share Process","True","Auto","NT AUTHORITY\LocalService","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""gpsvc""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""gpsvc""","False","True","Group Policy Client","0","Win32_Service","False","The service is responsible for applying settings configured by administrators for the computer and users through the Group Policy component. If the service is disabled, the settings will not be applied and applications and components will not be manageable through Group Policy. Any components or applications that depend on the Group Policy component might not be functional if the service is disabled.","False","Group Policy Client","Normal","0",,"gpsvc","C:\Windows\system32\svchost.exe -k netsvcs","1204","0","Share Process","True","Auto","LocalSystem","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""gupdate""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""gupdate""","False","False","Google Update Service (gupdate)","0","Win32_Service","True","Keeps your Google software up to date. If this service is disabled or stopped, your Google software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This service uninstalls itself when there is no Google software using it.","False","Google Update Service (gupdate)","Normal","0",,"gupdate","""C:\Program Files (x86)\Google\Update\GoogleUpdate.exe"" /svc","0","0","Own Process","False","Auto","LocalSystem","Stopped","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""iphlpsvc""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""iphlpsvc""","False","True","IP Helper","0","Win32_Service","False","Provides tunnel connectivity using IPv6 transition technologies (6to4, ISATAP, Port Proxy, and Teredo), and IP-HTTPS. If this service is stopped, the computer will not have the enhanced connectivity benefits that these technologies offer.","False","IP Helper","Normal","0",,"iphlpsvc","C:\Windows\System32\svchost.exe -k NetSvcs","1204","0","Share Process","True","Auto","LocalSystem","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""IsmServ""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""IsmServ""","False","True","Intersite Messaging","0","Win32_Service","False","Enables messages to be exchanged between computers running Windows Server sites. If this service is stopped, messages will not be exchanged, nor will site routing information be calculated for other services.  If this service is disabled, any services that explicitly depend on it will fail to start.","False","Intersite Messaging","Normal","0",,"IsmServ","C:\Windows\System32\ismserv.exe","2636","0","Own Process","True","Auto","LocalSystem","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""Kdc""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""Kdc""","False","True","Kerberos Key Distribution Center","0","Win32_Service","False","This service, running on domain controllers, enables users to log on to the network using the Kerberos authentication protocol. If this service is stopped, users will be unable to log on to the network. If this service is disabled, any services that explicitly depend on it will fail to start.","False","Kerberos Key Distribution Center","Normal","0",,"Kdc","C:\Windows\System32\lsass.exe","648","0","Share Process","True","Auto","LocalSystem","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""LanmanServer""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""LanmanServer""","False","True","Server","0","Win32_Service","False","Supports file, print, and named-pipe sharing over the network for this computer. If this service is stopped, these functions will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.","False","Server","Normal","0",,"LanmanServer","C:\Windows\System32\svchost.exe -k smbsvcs","2260","0","Share Process","True","Auto","LocalSystem","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""LanmanWorkstation""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""LanmanWorkstation""","True","True","Workstation","0","Win32_Service","False","Creates and maintains client network connections to remote servers using the SMB protocol. If this service is stopped, these connections will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.","False","Workstation","Normal","0",,"LanmanWorkstation","C:\Windows\System32\svchost.exe -k NetworkService","1084","0","Share Process","True","Auto","NT AUTHORITY\NetworkService","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""LSM""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""LSM""","False","False","Local Session Manager","0","Win32_Service","False","Core Windows Service that manages local user sessions. Stopping or disabling this service will result in system instability.","False","Local Session Manager","Normal","0",,"LSM","C:\Windows\system32\svchost.exe -k DcomLaunch","836","0","Share Process","True","Auto","LocalSystem","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""MapsBroker""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""MapsBroker""","False","False","Downloaded Maps Manager","0","Win32_Service","True","Windows service for application access to downloaded maps. This service is started on-demand by application accessing downloaded maps. Disabling this service will prevent apps from accessing maps.","False","Downloaded Maps Manager","Normal","0",,"MapsBroker","C:\Windows\System32\svchost.exe -k NetworkService","0","0","Own Process","False","Auto","NT AUTHORITY\NetworkService","Stopped","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""MpsSvc""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""MpsSvc""","False","True","Windows Firewall","0","Win32_Service","False","Windows Firewall helps protect your computer by preventing unauthorized users from gaining access to your computer through the Internet or a network.","False","Windows Firewall","Normal","0",,"MpsSvc","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork","1272","0","Share Process","True","Auto","NT Authority\LocalService","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""MSDTC""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""MSDTC""","False","True","Distributed Transaction Coordinator","0","Win32_Service","True","Coordinates transactions that span multiple resource managers, such as databases, message queues, and file systems. If this service is stopped, these transactions will fail. If this service is disabled, any services that explicitly depend on it will fail to start.","False","Distributed Transaction Coordinator","Normal","0",,"MSDTC","C:\Windows\System32\msdtc.exe","1060","0","Own Process","True","Auto","NT AUTHORITY\NetworkService","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""ncpalistener""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""ncpalistener""","False","True","NCPA Listener - ncpalistener","0","Win32_Service","True","NCPA HTTP Listener Server","False","NCPA Listener - ncpalistener","Normal","0",,"ncpalistener","""C:\Program Files (x86)\Nagios\NCPA\ncpa_listener.exe""","5608","0","Own Process","True","Auto","LocalSystem","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""ncpapassive""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""ncpapassive""","False","True","NCPA Passive - ncpapassive","0","Win32_Service","True","NCPA Passive Server","False","NCPA Passive - ncpapassive","Normal","0",,"ncpapassive","""C:\Program Files (x86)\Nagios\NCPA\ncpa_passive.exe""","2672","0","Own Process","True","Auto","LocalSystem","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
"ILCSDC0","1f2702d2-4538-45f6-a75d-53e5572e907c","True","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""Netlogon""","26","Win32_BaseService CIM_Service CIM_LogicalElement CIM_ManagedSystemElement","ILCSDC0","root\cimv2","\\ILCSDC0\root\cimv2:Win32_Service.Name=""Netlogon""","True","True","Netlogon","0","Win32_Service","False","Maintains a secure channel between this computer and the domain controller for authenticating users and services. If this service is stopped, the computer may not authenticate users and services and the domain controller cannot register DNS records. If this service is disabled, any services that explicitly depend on it will fail to start.","False","Netlogon","Normal","0",,"Netlogon","C:\Windows\system32\lsass.exe","648","0","Share Process","True","Auto","LocalSystem","Running","OK","Win32_ComputerSystem","ILCSDC0","0","0"
